Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Lloyd,173087,11,14,0.79,87,152,0.57,57,107,0.53,103,260,0.40,15,38,0.39
Bailey,192314,0,1,0.00,91,148,0.61,28,49,0.57,1,2,0.50,4,8,0.50
Parks,189135,0,0,0.00,27,49,0.55,0,1,0.00,0,0,0.00,0,1,0.00
Rider,191345,3,3,1.00,1,2,0.50,1,9,0.11,3,6,0.50,5,13,0.38
Brown,185259,10,13,0.77,0,0,0.00,6,14,0.43,3,11,0.27,27,52,0.52
Williams,177205,17,22,0.77,227,428,0.53,7,14,0.50,0,2,0.00,48,93,0.52
Hammond,187090,2,3,0.67,72,141,0.51,14,28,0.50,0,0,0.00,5,9,0.56
Blackburn,180158,24,34,0.71,10,20,0.50,41,76,0.54,61,142,0.43,14,27,0.52
Mercer,176149,3,7,0.43,1,4,0.25,5,17,0.29,3,10,0.30,12,28,0.43
Carter,197186,13,19,0.68,8,12,0.67,13,33,0.39,18,55,0.33,5,14,0.36
Moore,172514,5,7,0.71,140,226,0.62,22,52,0.42,20,45,0.44,29,59,0.49
Bowers,177528,0,0,0.00,2,2,1.00,0,1,0.00,0,2,0.00,0,1,0.00
Robles,172413,80,128,0.62,8,20,0.40,81,180,0.45,37,96,0.39,385,758,0.51
Dexter,185515,14,18,0.78,42,91,0.46,36,90,0.40,66,188,0.35,32,64,0.50
Lawrence,173628,13,15,0.87,158,240,0.66,39,85,0.46,76,183,0.42,13,32,0.41
Williams,190762,5,8,0.62,100,165,0.61,14,42,0.33,19,69,0.28,12,21,0.57
Fagan,181700,58,69,0.84,26,42,0.62,62,132,0.47,159,393,0.40,54,120,0.45
Kaplan,186512,71,94,0.76,26,38,0.68,43,120,0.36,89,256,0.35,161,335,0.48
Richmond,189198,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Emmons,187982,1,2,0.50,3,5,0.60,0,8,0.00,4,7,0.57,2,2,1.00
Borden,188067,0,0,0.00,3,5,0.60,2,3,0.67,0,1,0.00,0,0,0.00
Bauer,190272,10,15,0.67,15,29,0.52,21,46,0.46,25,76,0.33,18,27,0.67
Bechtel,188388,8,11,0.73,65,115,0.57,32,67,0.48,32,103,0.31,15,32,0.47
Flanagan,188719,3,5,0.60,93,192,0.48,18,46,0.39,12,29,0.41,18,36,0.50
Singer,191735,6,8,0.75,1,3,0.33,3,8,0.38,6,31,0.19,1,3,0.33
Leach,171886,13,20,0.65,64,96,0.67,40,73,0.55,84,186,0.45,54,97,0.56
