Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
S. Clymer,193127,8,13,0.62,74,130,0.57,60,115,0.52,105,244,0.43,10,16,0.62,31,48,0.65,56,125,0.45,53,165,0.32
E. Stanton,213950,1,1,1.00,17,32,0.53,5,9,0.56,11,22,0.50,4,4,1.00,21,51,0.41,14,32,0.44,17,48,0.35
S. Hubbard,204945,0,1,0.00,191,313,0.61,5,13,0.38,0,0,0.00,10,22,0.45,136,277,0.49,7,20,0.35,8,20,0.40
E. Cox,196338,20,29,0.69,9,13,0.69,18,38,0.47,38,83,0.46,8,8,1.00,5,10,0.50,18,33,0.55,22,71,0.31
G. Carpenter,202565,10,15,0.67,7,9,0.78,14,33,0.42,4,7,0.57,8,12,0.67,4,9,0.44,12,27,0.44,21,56,0.38
E. Parks,197766,0,1,0.00,48,80,0.60,2,6,0.33,1,6,0.17,6,10,0.60,56,122,0.46,3,5,0.60,2,12,0.17
J. Rider,191345,50,74,0.68,4,14,0.29,59,171,0.35,5,10,0.50,28,40,0.70,13,19,0.68,42,110,0.38,41,150,0.27
M. Tekin,209670,3,3,1.00,84,145,0.58,11,27,0.41,0,2,0.00,9,12,0.75,58,111,0.52,7,16,0.44,6,24,0.25
P. Cushman,210011,2,2,1.00,3,4,0.75,2,3,0.67,2,8,0.25,0,1,0.00,1,1,1.00,2,5,0.40,6,13,0.46
C. Basile,196505,31,50,0.62,19,34,0.56,21,54,0.39,73,185,0.39,18,20,0.90,21,35,0.60,47,92,0.51,64,222,0.29
L. Krueger,209265,2,2,1.00,13,19,0.68,0,1,0.00,0,0,0.00,1,2,0.50,8,13,0.62,2,5,0.40,1,4,0.25
G. Parks,189135,1,2,0.50,237,404,0.59,16,48,0.33,2,3,0.67,9,15,0.60,119,250,0.48,9,29,0.31,6,26,0.23
S. Hummel,209700,0,0,0.00,0,0,0.00,1,2,0.50,0,0,0.00,0,0,0.00,0,1,0.00,0,2,0.00,0,1,0.00
S. Caldwell,193428,9,13,0.69,46,94,0.49,49,107,0.46,111,261,0.43,6,8,0.75,33,52,0.63,42,102,0.41,54,182,0.30
L. Howland,193585,1,1,1.00,119,231,0.52,27,63,0.43,7,23,0.30,12,19,0.63,114,245,0.47,8,24,0.33,14,33,0.42
K. Barker,193376,0,0,0.00,130,225,0.58,7,18,0.39,9,18,0.50,8,13,0.62,174,298,0.58,12,29,0.41,5,16,0.31
N. Street,193973,16,22,0.73,20,34,0.59,19,51,0.37,43,134,0.32,10,13,0.77,10,22,0.45,19,59,0.32,42,97,0.43
A. Gentry,194044,45,55,0.82,18,31,0.58,41,81,0.51,85,198,0.43,32,38,0.84,11,24,0.46,35,115,0.30,46,166,0.28
M. Parker,193072,33,38,0.87,24,45,0.53,28,67,0.42,90,242,0.37,17,19,0.89,19,26,0.73,30,74,0.41,44,137,0.32
C. Bradley,201768,2,2,1.00,80,134,0.60,4,10,0.40,3,14,0.21,7,14,0.50,71,142,0.50,7,10,0.70,3,11,0.27
S. Harrell,207616,10,11,0.91,5,7,0.71,10,33,0.30,21,72,0.29,3,4,0.75,4,10,0.40,14,37,0.38,10,54,0.19
M. Loua,212346,2,4,0.50,46,71,0.65,7,18,0.39,2,11,0.18,3,6,0.50,73,155,0.47,11,23,0.48,5,15,0.33
D. Jefferson,199144,25,38,0.66,10,17,0.59,20,72,0.28,42,101,0.42,23,29,0.79,7,16,0.44,26,63,0.41,36,90,0.40
D. Glass,210065,0,0,0.00,2,3,0.67,0,0,0.00,4,9,0.44,1,2,0.50,3,3,1.00,2,5,0.40,7,16,0.44
R. Kellogg,209076,0,0,0.00,18,38,0.47,2,3,0.67,0,1,0.00,1,2,0.50,16,29,0.55,1,3,0.33,0,1,0.00
R. Teague,199663,1,2,0.50,11,15,0.73,0,0,0.00,3,10,0.30,0,1,0.00,5,12,0.42,4,6,0.67,3,4,0.75
