Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Tekin,209670,5,7,0.71,68,110,0.62,41,89,0.46,0,2,0.00,8,12,0.67
Parks,189135,2,2,1.00,586,917,0.64,46,122,0.38,6,18,0.33,9,23,0.39
Hammond,187090,2,6,0.33,228,405,0.56,7,17,0.41,0,1,0.00,20,37,0.54
Basile,196505,32,44,0.73,24,34,0.71,39,82,0.48,76,197,0.39,24,56,0.43
Rider,191345,56,78,0.72,7,15,0.47,65,165,0.39,4,14,0.29,200,407,0.49
Parks,197766,2,2,1.00,586,917,0.64,46,122,0.38,6,18,0.33,9,23,0.39
Cox,196338,4,6,0.67,3,7,0.43,5,15,0.33,23,36,0.64,18,37,0.49
Clymer,193127,1,1,1.00,7,13,0.54,4,7,0.57,6,14,0.43,2,2,1.00
Stanton,213950,3,3,1.00,14,33,0.42,20,41,0.49,17,55,0.31,4,6,0.67
Carpenter,202565,1,1,1.00,1,1,1.00,1,3,0.33,0,0,0.00,2,4,0.50
Hubbard,204945,0,0,0.00,12,17,0.71,1,3,0.33,0,0,0.00,0,1,0.00
Carter,197186,7,9,0.78,4,7,0.57,3,9,0.33,10,23,0.43,12,27,0.44
Brown,185259,21,30,0.70,1,3,0.33,15,41,0.37,3,20,0.15,94,176,0.53
Montano,189443,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Shepherd,190675,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Caldwell,193428,14,20,0.70,28,55,0.51,33,68,0.49,67,186,0.36,19,44,0.43
Harper,187980,12,18,0.67,129,207,0.62,35,72,0.49,56,152,0.37,39,89,0.44
Barker,193376,1,1,1.00,110,209,0.53,8,18,0.44,7,13,0.54,7,16,0.44
Bauer,190272,30,43,0.70,21,37,0.57,36,88,0.41,88,246,0.36,19,51,0.37
Bechtel,188388,28,40,0.70,100,182,0.55,47,99,0.47,35,86,0.41,97,197,0.49
